iter	RMSE
0	3689.117563
1	3381.605186
2	3102.339662
3	2838.900806
4	2607.113261
5	2393.344108
6	2205.3915
7	2034.266587
8	1882.280799
9	1744.744541
10	1619.561925
11	1506.66832
12	1407.168176
13	1316.639157
14	1239.594484
15	1168.992213
16	1106.455944
17	1049.280642
18	996.0363783
19	951.7209361
20	911.9682031
21	875.5645756
22	844.9475034
23	818.4709724
24	793.1618313
25	772.4330804
26	754.354584
27	738.5487684
28	723.5448988
29	711.4121991
30	700.194614
31	690.0325904
32	681.159245
33	673.5489315
34	666.4645632
35	660.04475
36	654.3324373
37	649.2457433
38	644.532601
39	640.4642667
40	636.70585
41	633.28513
42	630.374472
43	627.5022648
44	624.8379976
45	622.1389276
46	619.9096107
47	618.088739
48	616.2787246
49	614.5846459
50	613.1322169
51	611.0156271
52	609.6073182
53	608.5255756
54	607.2524912
55	606.410447
56	605.2109941
57	604.3993869
58	603.644978
59	603.0344058
60	601.8638326
61	601.0801258
62	599.9361367
63	599.0474164
64	598.3518902
65	597.6196563
66	596.9954322
67	596.2629097
68	595.7974382
69	595.0601542
70	594.6172617
71	593.5811931
72	593.091781
73	592.3619525
74	591.7907174
75	591.5477832
76	591.223451
77	590.5918076
78	590.0402922
79	589.3219959
80	589.0346106
81	588.7606828
82	588.2110819
83	587.9818939
84	587.687248
85	587.4589917
86	587.2048561
87	586.6333511
88	586.2674265
89	586.0366605
90	585.8370694
91	585.6167801
92	585.5300987
93	585.0704681
94	584.9074005
95	584.5088363
96	584.3020798
97	584.0177771
98	583.7819806
99	583.4909611
100	583.3878735
101	583.2641221
102	582.9893992
103	582.7336777
104	582.4716354
105	582.2403906
106	582.0331077
107	581.7144666
108	581.5532406
109	581.2378463
110	581.1472152
111	581.0286747
112	580.8279521
113	580.5336641
114	580.3954007
115	580.2873745
116	580.0917096
117	579.987347
118	579.8398524
119	579.7653154
120	579.5776046
121	579.4481082
122	579.1459473
123	578.9850903
124	578.8994652
125	578.7225995
126	578.6331511
127	578.4428931
128	578.2339333
129	578.0258326
130	577.8411811
131	577.7164889
132	577.6028859
133	577.3703972
134	577.191659
135	577.1153463
136	576.9624688
137	576.8151437
138	576.7225087
139	576.6198803
140	576.5351193
141	576.4314959
142	576.2916672
143	576.1675452
144	576.0593992
145	575.879383
146	575.7910786
147	575.6103422
148	575.4055828
149	575.2924054
150	575.2163647
151	575.1079865
152	574.9793877
153	574.8356071
154	574.6475235
155	574.5506094
156	574.403912
157	574.1772299
158	574.0631476
159	573.9177897
160	573.8020748
161	573.7336752
162	573.663289
163	573.5556718
164	573.4781839
165	573.3620606
166	573.1867238
167	573.1084288
168	573.033728
169	572.899118
170	572.8091024
171	572.6784867
172	572.4818881
173	572.3867536
174	572.2355138
175	572.1525839
176	572.0635765
177	571.9711627
178	571.902962
179	571.8500659
180	571.8125692
181	571.7171777
182	571.6941074
183	571.5712376
184	571.456212
185	571.3021262
186	571.251596
187	571.0530812
188	570.9649587
189	570.8374603
190	570.738496
191	570.626163
192	570.5087969
193	570.4342462
194	570.3306241
195	570.267298
196	570.1640845
197	570.1399326
198	570.06888
199	569.9557323
200	569.8397634
201	569.7017432
202	569.6509135
203	569.5083309
204	569.4391369
205	569.3317736
206	569.2182973
207	569.1603092
208	569.0606147
209	568.9594347
210	568.8507669
211	568.7574145
212	568.7089061
213	568.6649826
214	568.5724493
215	568.5128305
216	568.4173277
217	568.3370563
218	568.169181
219	568.0660125
220	568.0081761
221	567.928953
222	567.8631798
223	567.7646677
224	567.6688336
225	567.5422703
226	567.4677965
227	567.3610713
228	567.272944
229	567.2270305
230	567.169356
231	567.0957075
232	567.0113505
233	566.9230629
234	566.8575792
235	566.8168657
236	566.7160462
237	566.6157682
238	566.548758
239	566.4717157
240	566.4569653
241	566.3520779
242	566.2050511
243	566.1346335
244	566.0509096
245	565.9273578
246	565.8467541
247	565.8012161
248	565.6864947
249	565.604847
250	565.5060834
251	565.4124272
252	565.3382343
253	565.2574654
254	565.1837748
255	565.0446372
256	564.9618848
257	564.9021585
258	564.865813
259	564.7878413
260	564.741555
261	564.6899546
262	564.5905115
263	564.5356562
264	564.5222577
265	564.4633175
266	564.3647915
267	564.3151389
268	564.2060441
269	564.1225803
270	564.0780156
271	564.0143377
272	563.9283229
273	563.8511456
274	563.7266684
275	563.7104612
276	563.665141
277	563.5569373
278	563.5093047
279	563.4448863
280	563.4177356
281	563.381151
282	563.3575835
283	563.2565234
284	563.1908798
285	563.141724
286	563.0797186
287	563.0664078
288	563.0275637
289	562.9669148
290	562.892126
291	562.8468141
292	562.7618979
293	562.7055449
294	562.6383535
295	562.5747647
296	562.5211402
297	562.4548882
298	562.3489004
299	562.3349918
300	562.2816013
301	562.2168431
302	562.169252
303	562.1567493
304	562.1038639
305	562.0250015
306	561.9870268
307	561.9117542
308	561.8600476
309	561.7943833
310	561.7115372
311	561.6718351
312	561.620172
313	561.5536268
314	561.5013097
315	561.4223507
316	561.4113071
317	561.3451329
318	561.3360236
319	561.3059375
320	561.252507
321	561.1863728
322	561.1195039
323	561.0756843
324	560.9955428
325	560.9343053
326	560.8675452
327	560.815577
328	560.7353702
329	560.6463967
330	560.5464684
331	560.5256288
332	560.4141796
333	560.3997767
334	560.3557163
335	560.2878966
336	560.2431998
337	560.2060048
338	560.1074124
339	560.0711091
340	560.056805
341	559.9900363
342	559.9637814
343	559.9289583
344	559.906109
345	559.8943279
346	559.8360264
347	559.8258929
348	559.7641753
349	559.7212056
350	559.6523334
351	559.579814
352	559.5552396
353	559.4903218
354	559.4171715
355	559.3548284
356	559.3247521
357	559.1856341
358	559.0942672
359	559.0527046
360	559.0274673
361	558.9749843
362	558.9159611
363	558.8607807
364	558.8014611
365	558.6955669
366	558.6374748
367	558.5666496
368	558.5196583
369	558.5132613
370	558.434958
371	558.3923484
372	558.3808724
373	558.3178612
374	558.2736699
375	558.2255227
376	558.1712346
377	558.1285446
378	558.1021676
379	558.0553081
380	558.0282082
381	557.958266
382	557.8834401
383	557.7988875
384	557.7445523
385	557.6985801
386	557.6106058
387	557.52076
388	557.5060817
389	557.47338
390	557.420292
391	557.362326
392	557.311865
393	557.3038953
394	557.2722817
395	557.2618226
396	557.2142802
397	557.1603398
398	557.1253825
399	557.0406948
400	556.96728
401	556.9300744
402	556.8643409
403	556.8458551
404	556.7871781
405	556.779989
406	556.7668479
407	556.6576381
408	556.566188
409	556.5175133
410	556.5038604
411	556.4575948
412	556.4019286
413	556.3660984
414	556.3476278
415	556.3414456
416	556.2701006
417	556.2383963
418	556.2015113
419	556.1608316
420	556.1097903
421	556.0626501
422	556.0070078
423	555.961105
424	555.9103223
425	555.8498164
426	555.7985487
427	555.7156353
428	555.671314
429	555.6367622
430	555.6090534
431	555.5769962
432	555.5494004
433	555.4963759
434	555.4183193
435	555.3448135
436	555.2765555
437	555.2301066
438	555.1948465
439	555.1541703
440	555.1161127
441	555.1097845
442	555.0400222
443	554.9587596
444	554.9102528
445	554.8776863
446	554.836595
447	554.7742673
448	554.6805519
449	554.6253645
450	554.5613378
451	554.5153606
452	554.4589604
453	554.4053003
454	554.3508393
455	554.3008963
456	554.2866815
457	554.2364034
458	554.1990236
459	554.1476466
460	554.1031456
461	554.0498631
462	553.9713113
463	553.8860852
464	553.7987729
465	553.7147552
466	553.6410171
467	553.6004286
468	553.5827669
469	553.5354044
470	553.5129234
471	553.4815287
472	553.4710914
473	553.3903186
474	553.3286707
475	553.2715655
476	553.2041843
477	553.1821965
478	553.1579457
479	553.1438738
480	553.133122
481	553.0960395
482	553.0450657
483	553.0166747
484	552.9602429
485	552.9240181
486	552.8843618
487	552.8772958
488	552.8450874
489	552.7822817
490	552.7503019
491	552.7145485
492	552.6575592
493	552.6422383
494	552.5880866
495	552.5508186
496	552.5335653
497	552.4782747
498	552.4482405
499	552.4002167
500	552.3390135
501	552.3191611
502	552.2648199
503	552.2092267
504	552.170547
505	552.1253228
506	552.0941826
507	552.0316628
508	552.0083387
509	551.9696177
510	551.9366797
511	551.9032474
512	551.8687693
513	551.8190694
514	551.750801
515	551.6970345
516	551.6556749
517	551.6107525
518	551.5728367
519	551.5341654
520	551.4950778
521	551.4895681
522	551.464816
523	551.3571501
524	551.3154241
525	551.2814384
526	551.2758664
527	551.211799
528	551.1845904
529	551.1569591
530	551.0332631
531	550.9961258
532	550.9697038
533	550.8852297
534	550.8325434
535	550.7978596
536	550.7225378
537	550.6980805
538	550.6554618
539	550.6056663
540	550.5643645
541	550.4956215
542	550.4447226
543	550.3945442
544	550.3578519
545	550.3263895
546	550.2908157
547	550.21689
548	550.1735166
549	550.1436245
550	550.1016932
551	550.0233039
552	549.9658794
553	549.9321414
554	549.897247
555	549.8531543
556	549.8273531
557	549.7817513
558	549.7521867
559	549.677452
560	549.6475674
561	549.6428782
562	549.5888807
563	549.5399121
564	549.4846471
565	549.4562958
566	549.4174377
567	549.3653054
568	549.3321182
569	549.2724153
570	549.227749
571	549.1986699
572	549.1576632
573	549.1226569
574	549.0745888
575	549.0681867
576	549.0627087
577	549.0362649
578	549.0099065
579	548.9610755
580	548.9337787
581	548.9037155
582	548.8886379
583	548.872203
584	548.8402078
585	548.8182375
586	548.7525383
587	548.7264881
588	548.6808723
589	548.6594375
590	548.6169116
591	548.5875511
592	548.5708542
593	548.5320771
594	548.4923047
595	548.4642343
596	548.436772
597	548.4219985
598	548.3873633
599	548.3445953
600	548.3080748
601	548.293677
602	548.2706285
603	548.2136454
604	548.1826425
605	548.1482791
606	548.1134147
607	548.0852597
608	548.0261029
609	548.0122661
610	547.9801528
611	547.9425468
612	547.8955653
613	547.8445603
614	547.8102795
615	547.8052064
616	547.8004964
617	547.7485633
618	547.7129912
619	547.7032389
620	547.649431
621	547.6167167
622	547.5579464
623	547.5234691
624	547.4924062
625	547.4529879
626	547.4156308
627	547.3218009
628	547.2937346
629	547.2818355
630	547.2359715
631	547.1728521
632	547.1654098
633	547.1537766
634	547.1397166
635	547.1141008
636	547.0816021
637	547.0483849
638	547.0216919
639	546.9899999
640	546.9323433
641	546.9159868
642	546.8734463
643	546.8340392
644	546.8047488
645	546.7860286
646	546.7631742
647	546.7102031
648	546.6686127
649	546.6399256
650	546.6233175
651	546.597737
652	546.5661538
653	546.5323635
654	546.5276483
655	546.5145521
656	546.494381
657	546.4112142
658	546.3918105
659	546.3466605
660	546.3035014
661	546.2569304
662	546.2279173
663	546.1533848
664	546.102883
665	546.0702089
666	546.0460306
667	546.0159732
668	545.9603077
669	545.9041752
670	545.8712276
671	545.7870668
672	545.7664112
673	545.7370627
674	545.7203354
675	545.6920929
676	545.6558806
677	545.5769543
678	545.5276641
679	545.4754775
680	545.4542751
681	545.4098022
682	545.3817326
683	545.3659121
684	545.3448101
685	545.3327623
686	545.3039056
687	545.2896923
688	545.2561579
689	545.2318758
690	545.2273327
691	545.1877608
692	545.1480904
693	545.0930715
694	545.0654017
695	545.0397887
696	544.9714743
697	544.9557371
698	544.923183
699	544.8717351
700	544.8470332
701	544.8024958
702	544.7632666
703	544.7409068
704	544.7185919
705	544.6698148
706	544.6490517
707	544.6349965
708	544.5823944
709	544.5697052
710	544.4977907
711	544.4586367
712	544.4351068
713	544.4311142
714	544.3559627
715	544.3127064
716	544.296837
717	544.2751272
718	544.239567
719	544.2125718
720	544.1880587
721	544.1559738
722	544.1259508
723	544.101998
724	544.0841795
725	544.0740095
726	544.0323369
727	544.0165331
728	543.9910486
729	543.9470899
730	543.8905852
731	543.8304959
732	543.8071805
733	543.7865421
734	543.7436682
735	543.7227755
736	543.7004805
737	543.6782264
738	543.6344064
739	543.5951384
740	543.5514067
741	543.4937996
742	543.4528356
743	543.4283129
744	543.4152137
745	543.3906668
746	543.337058
747	543.2433499
748	543.1960708
749	543.145744
750	543.1222118
751	543.0896428
752	543.0369741
753	543.0140307
754	542.9779707
755	542.9652671
756	542.9350021
757	542.8852705
758	542.8382775
759	542.793053
760	542.7717062
761	542.7440325
762	542.707819
763	542.6744716
764	542.6503146
765	542.6268529
766	542.6092306
767	542.5722012
768	542.5573574
769	542.5098863
770	542.4501317
771	542.3687224
772	542.3225215
773	542.2958147
774	542.2590303
775	542.1975563
776	542.1655458
777	542.1301107
778	542.0626627
779	542.0151809
780	541.9747403
781	541.9358628
782	541.8901932
783	541.8604818
784	541.8277134
785	541.8055588
786	541.7978614
787	541.7688343
788	541.7168204
789	541.6807494
790	541.6369752
791	541.6177545
792	541.5766626
793	541.5597423
794	541.5348488
795	541.4983454
796	541.4701931
797	541.4680488
798	541.4642407
799	541.4579597
800	541.4333877
801	541.4172294
802	541.3867881
803	541.3581785
804	541.3160567
805	541.2658332
806	541.2308709
807	541.198815
808	541.1663805
809	541.0934346
810	541.0914399
811	541.0645799
812	541.0339697
813	541.0262266
814	541.0031297
815	540.9416946
816	540.8924515
817	540.8894819
818	540.8270835
819	540.8237586
820	540.7645718
821	540.7538072
822	540.7212979
823	540.7068421
824	540.6744553
825	540.6332691
826	540.6066865
827	540.5700757
828	540.5663983
829	540.5421224
830	540.5012527
831	540.4677273
832	540.4316482
833	540.3861187
834	540.356227
835	540.3201009
836	540.2877528
837	540.2487952
838	540.244496
839	540.1954549
840	540.1925806
841	540.1527709
842	540.1426541
843	540.10414
844	540.081732
845	540.0637225
846	540.0275309
847	540.0087839
848	539.9836418
849	539.9531312
850	539.9070371
851	539.8656751
852	539.8210063
853	539.7963965
854	539.773603
855	539.7207916
856	539.6519969
857	539.6337901
858	539.5579693
859	539.5074491
860	539.4563372
861	539.4243612
862	539.3792627
863	539.3245181
864	539.3157703
865	539.291751
866	539.2436601
867	539.2138438
868	539.1969698
869	539.1476506
870	539.1189231
871	539.0737198
872	539.0477106
873	539.0117224
874	539.0009182
875	538.9782077
876	538.9576887
877	538.9172459
878	538.9044694
879	538.8848615
880	538.8401093
881	538.804263
882	538.7885815
883	538.7680658
884	538.7406118
885	538.7403893
886	538.7244343
887	538.696769
888	538.67989
889	538.6796791
890	538.659162
891	538.6227358
892	538.6041882
893	538.5570861
894	538.5229693
895	538.4722396
896	538.4300897
897	538.3976238
898	538.3831301
899	538.3685708
900	538.3441185
901	538.3257569
902	538.2988042
903	538.2633185
904	538.2631161
905	538.2262542
906	538.1924896
907	538.1217425
908	538.0872565
909	538.0762992
910	538.0202071
911	538.0139679
912	537.9853628
913	537.9695983
914	537.9319468
915	537.9134619
916	537.8797084
917	537.8508807
918	537.8279912
919	537.7538898
920	537.7132989
921	537.6976703
922	537.6959571
923	537.666856
924	537.6585538
925	537.6252381
926	537.6017088
927	537.5742444
928	537.5568376
929	537.5425076
930	537.5402411
931	537.5202159
932	537.4704859
933	537.377728
934	537.3405491
935	537.3133735
936	537.2822753
